year,catch_category,length,numbers
2019,Landings,330,263536.35
2019,Landings,340,272302.1
2019,Landings,350,218055.41
2019,Landings,360,194710.76
2019,Landings,370,177012.81
2019,Landings,380,139371.26
2019,Landings,390,127137.57
2019,Landings,400,102193.96
2019,Landings,410,82732.28
2019,Landings,420,72289.82
2019,Landings,430,68160.3
2019,Landings,440,46595.54
2019,Landings,450,42425.31
2019,Landings,460,36926.31
2019,Landings,470,29608
2019,Landings,480,28706.42
2019,Landings,490,18770.85
2019,Landings,500,17983.99
2019,Landings,510,14128.3
2019,Landings,520,8446.89
2019,Landings,530,7920.74
2019,Landings,540,7067.69
2019,Landings,550,5224.04
2019,Landings,560,3159.58
2019,Landings,570,1542.97
2019,Landings,580,1985.36
2019,Landings,590,631.01
2019,Landings,600,939.2
2019,Landings,610,337.85
2019,Landings,620,535.37
2019,Landings,630,16.22
2019,Landings,640,273.63
2019,Landings,650,381.39
2019,Landings,670,79.4
2020,Discards,150,1504.2
2020,Discards,170,10559.32
2020,Discards,180,2657.72
2020,Discards,190,52496.95
2020,Discards,200,103441.27
2020,Discards,210,119195.63
2020,Discards,220,192736.15
2020,Discards,230,238068.36
2020,Discards,240,227852.06
2020,Discards,250,243217.66
2020,Discards,260,244480.16
2020,Discards,270,184925.54
2020,Discards,280,247069.12
2020,Discards,290,217181.69
2020,Discards,300,161721.56
2020,Discards,310,134980.32
2020,Discards,320,60550.91
2020,Discards,330,33605.85
2020,Discards,340,16487.26
2020,Discards,360,6703.6
2020,Discards,370,2788.82
2020,Discards,380,3297.49
2020,Discards,390,7820.95
2020,Landings,190,268.64
2020,Landings,230,1441.2
2020,Landings,240,1274.59
2020,Landings,250,5318.01
2020,Landings,260,43809.23
2020,Landings,270,118047.06
2020,Landings,280,266308.8
2020,Landings,290,332001.9
2020,Landings,300,281224.05
2020,Landings,310,263066.33
2020,Landings,320,234384.79
2020,Landings,330,219832.5
2020,Landings,340,246246.89
2020,Landings,350,166182.93
2020,Landings,360,132013.29
2020,Landings,370,130668.61
2020,Landings,380,104898.74
2020,Landings,390,86124.02
2020,Landings,400,71904.91
2020,Landings,410,58149.4
2020,Landings,420,48658.48
2020,Landings,430,42336.48
2020,Landings,440,35239.38
2020,Landings,450,30532.67
2020,Landings,460,26878.92
2020,Landings,470,23215.64
2020,Landings,480,14779.87
2020,Landings,490,14639.46
2020,Landings,500,15533.37
2020,Landings,510,8392.43
2020,Landings,520,7311.05
2020,Landings,530,5104.85
2020,Landings,540,4985.18
2020,Landings,550,3696.39
2020,Landings,560,2367.8
2020,Landings,570,1325.1
2020,Landings,580,767.27
2020,Landings,590,777.72
2020,Landings,600,408.53
2020,Landings,610,56.58
2020,Landings,620,157.09
2020,Landings,630,82.23
2020,Landings,640,5.51
2020,Landings,650,49.71
2021,Discards,160,577.2
2021,Discards,170,2171.81
2021,Discards,180,8003.7
2021,Discards,190,22451.28
2021,Discards,200,43880.65
2021,Discards,210,58563.79
2021,Discards,220,75812.79
2021,Discards,230,84692.62
2021,Discards,240,111239.71
2021,Discards,250,133001.52
2021,Discards,260,124954.27
